word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
zandapsku	lujvo			$x_1$ says a toast, well-wishes $x_2$ (text) to $x_3$	See also {zandapsmusku}.			1																																																						
zandapsmusku	lujvo			$x_1$ says a toast, well-wishes that $x_2$ (event) happens by telling it to $x_3$				1																																																						
zandi	experimental gismu			$x_1$ is dirty/contaminated with debris/contaminant $x_2$ by standard $x_3$	Antonym of {jinsa}. See also {dertu}, {pulce}, {purmo}. Proposed rafsi -zad-			1	dirty	unclean	contaminated	impure	unclean	dirty																																			dirty thing	unclean thing	debris	contaminant										
zandimna	lujvo			$x_1$ is a blessing / good fate upon $x_2$ ; $x_2$ is blessed.	See {dimna}, {zabna}, {zandapma}			2	blessing																																																					
zandovu	fu'ivla			$x_1$ is bungee made of elastic $x_2$ and woven/braided $x_3$				2																																									bungee													
zanfri	lujvo			$l_1=z_3$ enjoys $z_1=l_2$.				4	enjoy																																																					
zanfu'a	lujvo			$f_1=z_2$ (event/property) is determined by the good luck/fortune of $f_2$; $x_1$ is a case of serendipity	Cf. {zabna}, {funca}, {malfu'a}.			5	favourable		serendipity																																																			
zanfu'e	lujvo			$x_1$ is credited for $x_2$ (event/action), according to $x_3$	i.e. "blamed" for something good.			2	credited	to be ascribed an achievement																																																				
zanfunpa'a	lujvo			$x_1$ wishes that good fortune $x_2$ (property of $x_3$) happens to $x_3$				4	well-wish	hope																																																				
zanfuzypai	lujvo			$x_1$ credits $x_2$ with event/action $x_3$	To "blame" for a good thing. See {fuzgau}. // = {to'ai} {zanfu'e}			2	credit	ascribe an achievement																																																				
zangaleua	fu'ivla			$x_1$ expresses zangalewa feeling towards $x_2$; $x_1$ tells, informs $x_2$ about $x_2$'s own responsibility for their actions	'Zangalewa' is a name of a Cameroon song, the term is a distorted rhetorical question in Ewondo language 'Who called you?' meaning in reality that no one forced the listener to do certain actions.	SPUDA_GREKU		2																																																						
zankava	fu'ivla			$x_1$ is an excellent environment/condition for $x_2$ to be able to do $x_3$				1	excellent work environment																																																					
zankurki	lujvo			$x_1$ is enjoyably bitter to observer $x_2$.				1																																																						
zanmau	lujvo			$zm_1=za_1$  is better than $zm_2$ in property $za_2$ according to standard $za_3$ by amount $zm_4$.	Cf. {zabna}, {zmadu}, {xagmau}, {xauzma}.			2	better	more favourable	more favourable																																																			
zanrai	lujvo			$t_1=z_1$ is most favourable among set/range $t_4$ in property $z_2$ according to standard $z_3$.	Cf. {zabna}, {traji}, {zanmau}, {xagrai}, {mecyxlarai}.			1	best	most favourable	most favourable																																																			
zanru	gismu	zar     zau		$x_{1}$ approves of/gives favor to plan/action $x_{2}$ (object/event).	See also cmavo list {zau}, {natfe}.			100000	approve																																																					
zansaxmu'e	lujvo			$x_1$ is a paradise/paradisaic place defined/governed by rules $x_2$				1	paradise																																																					
zanselfu'a	lujvo			$f_2$ is lucky/fortunate in $f_1=z_2$ (event/property).	Cf. {zabna}, {funca}, {selfu'a}, {malselfu'a}.			2	fortunate		lucky																																																			
zanselja'e	lujvo			$x_1$ (nu) is productive yielding/has positive outcome/result $x_2$				3	productive	positive result																																																				
zansilvusi	fu'ivla			$x_1$ is enjoyably salty in flavor to observer $x_2$.				1																																																						
zansku	lujvo			$x_1=c_1$ expresses compliment $x_2=c_2=z_1$ to $x_3=c_3=z_3$.	See also {zabna}, {cusku}.			2																																																						
zanslari	lujvo			$x_1$ is enjoyably sour to observer $x_2$.				1																																																						
zansno	lujvo			$x_1$ does/is $x_2$ (ka) at a leisurely pace				1	leisurely	slow																																																				
zantitla	lujvo			$x_1$ is enjoyably sweet to observer $x_2$.				1																																																						
zanvi'e	lujvo			$x_1$ is welcomed by $x_2$ to place/event $x_3$.	See also {zabna} {vitke}; {fi'i}			2	welcome	hospitality																																																				
zanxi	experimental gismu			$x_1$ (agent) urges/presses/prompts/expedites/hastens $x_2$ (event) for reason $x_3$ (fact, event)				2	expedite		hasten	make something happen faster	press	urge an event to happen	prompt		urge	press an event to happen																																												
zanzara	fu'ivla			$x_1$ is a mosquito (insect of family Culicidae) of taxon $x_2$	See also {sfani}, {insekto}			2	mosquito																																																					
za'o	cmavo	        za'o	ZAhO	interval event contour: continuing too long after natural end of ...; superfective  |     ---->.				100002	still	at the present time, as in the past	superfective																																																			
za'oi	experimental cmavo		UI3b	yet; still; too long	see also: {xa'oi}, {za'o}, {du'e re'u}			2																																																						
za'orfau	lujvo			$x_1$ (event) is continuing beyond its expected duration/endpoint.	Synonmous to {faurza'o}. See also {za'o}.			1	superfective																																																					
za'ornu'ozu'e	lujvo			$x_1$ still hasn't gotten around to doing $x_2$				3																																																						
zarbaija	fu'ivla			$x_1$ reflects Azerbaijani/Azeri/Azeri Turkish culture/nationality/language in aspect $x_2$.	See also {azarbaiDJAN}, {turko}, {kulnrxanadolu}, {kulnrkafkaso}, {kafkaso}, {transkafkaso}, {xai'otso}, {xaiaSTAN}, {kartuli}, {sakartyvelos}.			1	Azerbaijani	(nonspecific)	Azeri	(nonspecific)	Azeri Turkish	(nonspecific)																																																
zarci	gismu	zac     zai		$x_{1}$ is a market/store/exchange/shop(s) selling/trading (for) $x_{2}$, operated by/with participants $x_{3}$.	Also: mall, marketplace, shopping center, cooperative, bazaar, trading post, mart; the concept is the function of selling/exchanging coupled with a location, and is more oriented to the larger concept of marketplace than the stalls/shops that comprise it, though it does not exclude the latter individual shops (= {zaisle}); $x_3$ may include both owners/proprietors and customers in some markets, but in most contexts refers only to the operators.  See also {vecnu}, {canja}, {dinju}, {banxa}.			100001	market		shop	store																																																		
zarcpa	lujvo			$z_1=c_1$ accepts $z_2=c_2$ (object/event) from source $c_3$.	Cf. {zanru}, {cpacu}, {friti}, {sarxe}, {fitytu'i}, {radji'i}, {cpazau}.			2	accept	receive with consent																																																				
zarcycarce	lujvo			$x_1=c_1$ is a shopping cart for carrying $x_2=c_2$, propelled by $x_3=c_3$.	Place structure is identical to that of {carce}.			3	shopping cart																																																					
zargu	gismu	zag     za'u		$x_{1}$ is a/the buttock(s)/arse/rear/seat [body-part] of $x_{2}$; [metaphor: rounded surface, support].	Also ass, behind, butt.  See also {ganxo}, {mabla}.			100001	buttock		arse	body part	rear	body part	ass	body part	butt	body part	behind	body part																																										
zarti'i	lujvo			$x_1=s_1=z_1$ recommends $x_2=s_2=z_2$ to $x_3=s_3$.				1	recommend																																																					
zarziei	obsolete fu'ivla			 $x1$ pertains to Zarzian technological industry/culture/know-how of period and location (specifics) $x2$ in properties $x3$				1	Zarzian	paleolithic culture/industry (archaeological sense)																																																				
zasmo'isro	lujvo			$s_1$ is temporary memory for fact(s) $s_2=m_2$ in containment $s_3$.				1	temporary memory																																																					
zasnce	fu'ivla			$x_1$ is a voiced alveolar sibilant fricative sound produced by $x_2$.	Derived from and synonymous with {zy zei sance}. The odd morphological form serves to place the most salient consonant in the stressed syllable.	linguistics		2	voiced alveolar sibilant fricative sound		voiced alveolar sibilant fricative	phone	voiced alveolar sibilant	phone	voiced alveolar sibilant sound		Z sound	sound of the letter Z in Lojban, English and other languages																															voiced alveolar sibilant fricative sound		speech-sound producer											
zasni	gismu	zas		$x_{1}$ is temporary/not permanent/expected to change in property $x_{2}$ (ka) by standard/expectant $x_{3}$.	Also transient.  See also {vitno}, {stodi}, {cenba}, {galfi}, {binxo}, {stika}, {stali}, {tcini}, {vitke}.			100000	temporary																																																					
zasrirni	lujvo			$x_1$ is a foster parent of $x_2$ instead of previous parent/rights holder $x_3$ until $x_4$	x3 might be the bioparent if alive, other adoptive family, or the government if the child is a ward of the state or an orphan.  x4 is the next step, for example reunification when x3 completes some legal requirement (e.g. drug rehab), or permancy if the foster parent is expected to adopt the child.			2	parent	foster																																																				
zasti	gismu	zat     za'i		$x_{1}$ exists/is real/actual/reality for $x_{2}$ under metaphysics $x_{3}$.	Words usable for epistemology typically have a du'u place.  $x_1$ is physical (one sense).  See also {fatci}, {xanri}.			100000	exist																																																					
zastru	lujvo			$r_1$ is a regent/interim government of $r_2$				1	regent	temporary monarch	interim government																																																			
zasxa'u	lujvo			$x_1$ stays/lodges at a hotel/in a location $x_2$; $x_1$ is a temporal resident of $x_2$.	See {zasni} {xabju}; {vitke}			2	stay	at a hotel																																							lodger													
zasyde'a	lujvo			$x_1=d_1=z_1$ is paused / pausing / temporarily waiting for / until $x_2=d_2$ at state $x_3=d_3$ before resuming / continuing / starting $x_4=d_4$ (activity / process), (with temporariness standard / expectant $x_6=z_3$); $x_1$ is paused / delayed.	See also: {zasyde'agau}.			1	paused	waiting temporarily	delayed	paused																																																		
zasyde'agau	lujvo			$x_1=g_1$ pauses / makes to temporarily wait $x_2=g_2=d_1=z_1=z_2$ for / until $x_3=d_2$ at state $x_4=d_3$ before resuming / continuing / starting $x_5=d_4$ (activity / process), (with temporariness standard / expectant $x_6=z_3$); $x_1$ pauses / delays $x_2$.				1	delay	pause	pause	wait temporarily																																																		
zasyku'arka	lujvo			$x_1$ is a virtual quark / sea quark of flavor $x_2$	See {ku'arka}			1	virtual quark		sea quark																																																			
zasysfani	lujvo			$x_1$ is a mayfly of genus/species $x_2$				1																																									mayfly													
zasysti	lujvo			$s_1$ pauses/temporarily halts activity/process/state $s_2$.	Cf. {denpa}.			1	pause	make stop	temporarily halt																																																			
zasyve'u	lujvo			$x_1$ rents $x_2$ [goods/service/commodity] to $x_3$ for cost $x_4$ for duration $x_5$	Cf. {zasni}, {vecnu}			2	rent																																																					
zatfa'i	lujvo			$f_1$ discovers the existence of $x_2=z_1$ under metaphysics $z_3$.				1	discover	find out about existence																																																				
zatra'i	lujvo			$r_1=z_1$ exists over interval $r_2$.	$r_1=z_1$ is $r_2$ years/days etc. old. Not restricted to biological forms. Cf. {zasti}, {ranji}, {temci}, {ditcu}, {jbena}, {morsi}, {cfari}, {fanmo}, {jmive}.			3	age	grow aged																																							existence		age	whole duration of a being										
zatske	lujvo			$s_1$ is ontology based on methodology/metaphysics  $s_3=z_3$.				1	ontology																																																					
zatydubmaisi'o	lujvo			$s_1$ (idea abstract) is materialism/an idea that the only thing that exists is matter, based on the works of thinker $s_3$. 				2	materialism	philosophy																																																				
za'u	cmavo		PA3	digit/number: greater than.				100002	greater than		more	in greater number																																																		
zau	cmavo		BAI	zanru modal, 1st place                            approved by ...				100000	approved by																																																					
zau'e	experimental cmavo		COI	vocative: go! / come on! / get on it! / let's!	A call to act now. See .{e'e}, {zukte}			2																																																						
zau'ei	experimental cmavo		MOI	$x1$ is (n) more than $x2$ in metric $x3$ [ni, default cardinality]	I.e. $|x2| + n = |x1|$ where $x3$ determines how to measure $|x|$.  Practically, this can be used, e.g. «djica tu'a le pa zau'ei be lei titla» for "I want one more candy". See also: {mei'ai}, {ze'au}, {ja'au} Etymology: {za'u}+{mei} (note that za'u ny. mei means something different).			1	more than	quantity																																																				
zau'e'u	experimental cmavo		ZAUhEhU	text affirmation/negation mode toggle	Until the next utterance of this word, the interpretation of all following (but not preceding) negations and affirmations are to be re-interpreted bridi-by-bridi, starting with the current open (not-yet-terminated) bridi (in which this word is uttered).  If this word is followed by a number of/evaluated to a value 0 or 1 (preceded immediately by "li"), this value is taken to be an explicit reset of the mode to the value indicated (the value in question is called a seed value). Iff the seed value is 1, the mode is set thereinafter to multiplicative style; iff the seed value is 0, the mode is set thereinafter to additive style. (That is: the seed values represent the identity elements under the operation which the mode emulates.).  No other value, numerical or otherwise (including other sumti or even Boolean values, which actually mean "truth" and "false", rather than "1" and "0" respectively, despite common representations), may act as a seed value of this word.  Thus, only in the context of this word being followed by a "li"-introduced mekso expression X which evaluates to the numbers 0 or 1 wherein X is not intended to be taken as a seed value of this word must this word be followed by {ku} prior to X; in this case there is no explicit seed value. If this word has no explicit seed value, then this word causes the mode of interpretation of double-negatives to switch between multiplicative style and additive style; an utterance of this word switches the mode to whichever of these two options was not being used immediately previously.  Thus, it is its own terminator/negator.  Lojban default (without context) is in multiplicative mode: "mi na na nelci" is nearly equivalent to "mi nelci"; double-negatives cancel leaving a positive sense (even if it is not entirely/definitively affirmative). So, one utterance of this word (under standard conventions) in a given discourse will change double-negatives to become additive. This mode is similar to (some) Spanish negation or AAVE negation; multiple negatives compound/add together, intensifying the negativity (subjective truth-value) of an utterance.  In additive mode, "[zau'e'u] mi na na nelci" is equivalent to "mi ba'e na nelci" or something of the like; "[zau'e'u] mi na na na na nelci" would be simply further emphasized (roughly twice as emphatic as the previous example's negation).  This word is intended mostly for stylistic purposes and translations, as well as enabling further cultural neutrality. lai .krtisfranks. requests that this word (and all of its relevant information, including the selma'o label) be mapped to "{zau'eu}" if the string "eu" ever becomes officially accepted in Lojban.			1	negation mode toggle		double-negative toggle		additive negation indicator		multiplicative negation indicator		affirmation toggle																																													
za'umai	cmavo-compound		MAI*	discursive: further utterance ordinal				1	furthermore		moreover		even	emphasising																																																
za'ure'u	cmavo-compound		ROI*	again; in addition to the first time; for the "more"-th time	See {krefu}, {rapli}			5	again																																																					
zaurskupemci	lujvo			$x_1$ is an ode to $x_2$ by author $x_3$ for intended audience $x_4$	from {zausku} + {pemci}			1	ode																																																					
zausku	lujvo			$c_1=z_1$ praises $z_2$ (object/event) for audience $c_3$ via expressive medium $c_4$.				1	praise	talk favorably																																																				
za'uslu	lujvo			$s_1$ is a/the gluteal muscle/"glutes" [body-part] controlling $s_2$, of body $s_3$.				1	gluteal muscle	gluteus maximus & gluteus medius	glutes	gluteal muscle																																																		
zau'u	experimental cmavo		PA4	digit/number: arbitrarily large/great/increased/many (finite but as big as desired/allowed).	Technically, it means: "For any finite n > 0, there exists a finite x such that n < |x|; this word refers to such an x". This is different from "infinite" in the same way that living literally and truly forever in an undying universe is different from living for as long as was initially desired but for a finite time (and eventually dying). No assumption about signum; the above definition is given in absolute value terms. In other words, the typical meaning of "arbitrarily and positively large" is "{ma'uzau'u}", meanwhile "arbitarily large in absolute value but negative" is given by "{ni'uzau'u}". See also: {mei'a}.			1	arbitrarily great		arbitrarily large		arbitrarily many																																																	
zazyfau	lujvo			$x_1$ is a state (event)				2	state	event																																																				
zazyza'i	lujvo			$x_1$ is the existence of $x_2$	from {za'i} + {zasti}			3	existence																																																					
zbabu	gismu	bab		$x_{1}$ is a quantity of/contains/is made of soap from source $x_{2}$ of composition including $x_{3}$.	See also {lumci}, {fonmo}.			100000	soap																																																					
zbacu'u	lujvo			$c_1$ is a/the production/building/assembling function/activities involving person(s) $c_2=z_1$(ind./mass) making/building/assembling $z_2$ out of $z_3$.	Cf. {zbasu}, {cuntu}, {zbaske}, {terzbasro}, {selvensro}, {zbagundi}, {fanrygundi}.			2	assembly	activity of assembling	construction	activity of building	production 	activity of producing																																			production	activity of producing												
zbadjurek	cmevla			$x_1$ is a scaffolding for building $x_2$	from {zbasu}+{sidju}+{greku}			1	scaffolding		scaffold																																																			
zbafavycu'u	lujvo			$c_1$ is/are the function/activities involving persons $c_2$ developing products $f_2=z_2$ made by $z_1$; $c_1$ is product development.	C.f. {zbasu}, {farvi}, {zbaske}, {vencu'u}, {zbacu'u}, {faircu'u}, {dintrocu'u}, {dinveicu'u}.			1	product development	as an organized activity																																							product development	as an organized activity												
zbagundi	lujvo			$g_1$ is a/the industry sector of $z_1$ building/assembling/constructing $g_2=z_2$ $z_3=g_3$.	Cf. {zbasu}, {gundi}.			2	building and construction industry		building and construction sector		construction industry																																																	
zbalermorna	lujvo			$x_1$ is a pattern of zbalermorna symbols $x_2$; $x_1$ represents the zbalermorna orthography	See https://mw.lojban.org/papri/zbalermorna for a description of the zbalermorna orthography. See also {kmir}, {lojbo}, {vlaleci'e}, {vlalerpoici'e}, {jbopomofo}.	MORNA-_FREIME		2																																																						
zbalogji	lujvo			$x_1$ is intuitionistic logic / constructive logic for inferring/deducing $x_2$ (du'u)	This is {fadylogji} without the law of excluded middle or double negation elimination. (Which ends up meaning that you can't prove "P or Q" without "constructing" a proof of either P or Q, hence "{zbasu}"/"constructive".) See also {xaklogji}.			1	constructive logic		intuitionistic logic																																																			
zbani	gismu			$x_{1}$ is a bay in/of coast/shoreline $x_{2}$.	See also {lalxu}, {xamsi}.			100000	bay																																																					
zbapla	lujvo			$x_1$ is an engineer [architect] who produces schematics/plans $x_2$ for making/assembling $x_3$				1																																																						
zbaradosti	fu'ivla			$x1$ pertains to Baradostian technological industry/culture/know-how of period and location (specifics) $x2$ in properties $x3$				1	Baradostian	paleolithic industry (archaeological sense)																																																				
zbaroke	fu'ivla			$x_1$ is baroque/reflects the baroque era in property $x_2$	Baroque: relating to or denoting a style of European architecture, music, and art of the 17th and 18th century.	history		3	baroque	history																																																				
zbaske	lujvo			$s_1$ is the engineering/technology of/behind products $z_2$ made of materials/parts/components $z_3$.	Cf. {zbasu}, {saske}.			2	engineering	application of scientific principles	technology	application of scientific principles																																					engineering	application of scientific principles												
zbasu	gismu	    zba		$x_{1}$ makes/assembles/builds/manufactures/creates $x_{2}$ out of materials/parts/components $x_{3}$.	Should not be used to express causation.  Cf. {cupra}, {larcu}, {rutni}, {finti}, {gundi}.			100002	build	form by combining materials	make		manufacture																																				builder	creator	built object	physical object	building materials									
zbatadji	lujvo			$t_1$ [process] is a method/recipe for crafting/making/assembling/building/manufacturing/creating $z_2$ out of materials/parts/components $z_3$ under conditions $t_3$.	Cf. {zbasu}, {tadji}			1	crafting recipe		crafting method																																						crafting recipe		crafting result		crafting material									
zbazai	lujvo			$x_1$ is a hardware store selling $x_2$ operated by $x_3$	cf. {zbasu} {zarci}			2																																																						
zbepi	gismu	    zbe		$x_{1}$ is a pedestal/base/stand/pallet supporting $x_{2}$ (object/event), of materials/properties $x_{3}$.	Pallet (= {lafyzbe}).  See also {jamfu}, {jicmu}, {jubme}, {tuple}, {ckana}, {cpana}, {loldi}, {sanli}.			100000	pedestal																																																					
zbibo'u	lujvo			$b_1$ is a/the nasal bone (os nasale) performing function $b_2$ in body of $b_3$.				1	nasal bone	bone (os nasale)																																																				
zbibu'u	lujvo			$b_1$ is a handkerchief of type/material $b_2$.	Cf. {daskybu'u}.			2	handkerchief																																																					
zbijoimolpunli	lujvo			$x_1$ is the snout/muzzle (body-part) of $x2$.	This is a the cephalic protrusion which combines the nose, mouth, and jaw in many animals.			1	snout	body-part	muzzle	body-part																																																		
zbike'a	lujvo			$k_1$ is/are nostril(s) of nose $k_2=n_1$.				1	nostril																																																					
zbimuxne	lujvo			$x_1$ is snot/nasal mucus produced by $x_2$				1	snot	nasal mucus	nasal mucus																																																			
zbipe'u	lujvo			$x_1$ nuzzles/noses $x_2$ at locus $x_3$				1	nuzzle																																																					
zbiple	lujvo			$x_1$ is a tissue (for the nose).	"Tissue paper" could also be cinlyple. See also {lumple}.			1																																																						
zbisakci	lujvo			$s_1$ sniffles fluid/gas/powder $s_2$ through the nose.	Cf. {nazbi}, {sakci}, {zbisnava'u}.			2	inhale	through the nose	sniff	inhale through the nose	sniffle		snort	inhale through the nose																																														
zbiselcigla	lujvo			$x_1$ is a quantity of snot/booger(y material) secreted by the nose of body $x_2$, of composition  $x_3$				1	snot		booger																																																			
zbiseljirna	lujvo			$n_2=j_2$ is a rhinoceros of species/type $x_2$	from http://www.lojban.org/tiki/jbovlaste+import%3A+mammal+class+lang+en			2	rhino		rhinoceros																																																			
zbisna	lujvo			$x_1$ is a nasal (phonetic) sound	Subset of consonants ({zunsna}) and sonorants ({ra'isna})			2	nasal	phonetics																																																				
zbisnava'u	lujvo			$v_1$ breathes gas $v_2$ producing nasal sound; $v_1$ snorts. 	Cf. {nazbi}, {sance}, {vasxu}, {zbisakci}, {sipsavgau}.			1	snort	make sound																																																				
zbusufukai	fu'ivla			$x_1$ is BSFK-ish / BSFK-like in aspect $x_2$ (ka)	Refers to "la bauspo fazykamni", the evil counterpart of the BPFK. Essentially, this is used to jokingly mean, "$x_1$ has good potential to destroy Lojban forever"	Lojbanic culture		1	BSFK-ish		BSFK-like																																																			
zdabartu	lujvo			$b_1$ is outdoors.	Cf. {dijbartu}.			1																																																						
zdacau	lujvo			$c_1$ is homeless.	Cf. {zdani}, {claxu}, {xabju}, {ginka}			2	homeless																																								homeless													
zdacravro	lujvo			$v_1$ is a hall door/front door of nest/house/lair/den $v_2=z_1=c_2$.				1	hall door		front door																																																			
zdacutci	lujvo			$x_1$ is a slipper/houseshoe for covering/protecting/keeping warm [feet] $x_2$, and of material $x_3$.				3																																																						
zdadi'u	lujvo			$x_1$ is a building that is the house/home/nest/den of/for $x_2$.	From {zdani} {dinju}.			2	home	building	house																																						house													
zdaga'u	lujvo			$g_1$ is an attic of house $z_1$, which is inhabited by $z_2$.	See also: {zdani}, {galtu}.			1	attic																																								attic		dweller											
zdagu'a	lujvo			$x_1$ does housework $x_2$ in order to clean/maintain house $x_3$				1	do housework																																																					
zdakarce	lujvo			$z_2=k_1$ is a van/mobile home/motor home for $z_1=k_2$, propelled by $k_3$.				1	van	mobile home	mobile home		motor home																																																	
zdaklo	lujvo			$x_1$ is a neighborhood of $x_2$	cf. {zdani} {diklo}			1																																																						
zdalatu	fu'ivla			$x_1$ dances the Macarena	short form of {zdalatukuuerpo'alegriiamakarenaketukuuerpo'espadarle'alegriiakosabuuenadalatukuuerpo'alegriiamakarena'eimakarena}			2																																																						
zdalatukuuerpo'alegriiamakarenaketukuuerpo'espadarle'alegriiakosabuuenadalatukuuerpo'alegriiamakarena'eimakarena	fu'ivla			$x_1$ dances the Macarena	{u'ivla}			1																																																						
zdali'a	lujvo			$x_1=c_1$ leaves/departs/separates from the house inhabited by $x_2=z_2=c_2$, along route $x_3=c_3$	cf. the Lojban definition, {zdani}, {cliva}.			1	leave home	of someone																																																				
zdane'i	lujvo			$n_1$ is indoors.	Cf. {zdabartu}, {dijbartu}.			1	indoors		inside	of a building																																																		
zdani	gismu	    zda		$x_{1}$ is a nest/house/lair/den/[home] of/for $x_{2}$.	Home (= {tercnizda}), house (constructed building) (= {zdadi'u}).  See also {dinju}, {ginka}, {kumfa}, se {xabju}.			100000	nest																																																					
zdanrnabato	fu'ivla			$x_1$ is Philippine "bahay na bató" or "house of stone" of variety/type $x_2$				1																																																						
zdanrxaikubo	fu'ivla			$x_1$ is a Philippine "bahay kubo" or nipa hut of type/variety $x_2$				1																																																						
zdaselgu'a	lujvo			$x_1$ is housework, to be done by $x_2$, in order to clean/maintain house $x_3$				1	housework																																																					
zdase'u	lujvo			$s_1$ is a house servant in/of house $z_1$ owned by person $s_2=z_2$.	Cf. {zdani}, {selfu}.			1	house servant		housemaid		domestic help																																																	
zdasta	lujvo			$s_1=z_2$ stays home/is nidicolous.				1	stay home		nidicolous																																																			
zdatru	lujvo			$c_1$ is a master/ruler of home $t_2=z_1$.				1	master	ruler of home																																																				
zdaxogani	fu'ivla			$x_1$ is a hogan/hooghan (traditional Navajo building)	see also {navdine}			1	hogan		hooghan																																																			
zdazva	lujvo			$x_1$ is at home.				2	at home																																																					
zdeltadirake	fu'ivla			$x_1$ is the Dirac delta function (generalized), defined on structure $x_2$ (contextless default is probably the field of real numbers), yielded by family of distributions $x_3$ (contextless default is probably Gaussians centered at  0 and which enclose unit area)	This generalized function evaluates to zero (0) everywhere except at 0 (in the domain), at which it evaluates to an infinity (∞) sufficient(ly large) for the purpose of integration to exactly equal one (1) whenever the integral interval properly contains 0 (in the domain). x2 determines what 0, 1, and ∞ mean. Properly, more than a set should be specified; the domain and codomain are determined thereby.			2	Dirac delta	generalized function	sufficient infinity	Dirac delta																																																		
zdeltakronekre	fu'ivla			$x_1$ is a Kronecker delta function defined on structure $x_2$ which evaluates to one for any argument belonging to subset $x_3$ and which evaluates to zero otherwise	x2 determines domain, codomain, and the meaning of "zero" and "one". x3 is a set; for the typical usage of delta$(x,n)$ for fixed $n$, let x3 be the singleton set such that $n$ is an element thereof.			1	characteristic function	Kronecker delta	indicator function	Kronecker delta	Kronecker delta	function	window function	Kronecker delta (which evaluates to 1 on a continuous interval)	XNOR	exclusive nor; brivla; related generalization																																												
zdicacyca'azbastu	lujvo			$x_1$ is a a hackerspace/hacklab/makerspace/hackspace at location $x_2$				3	hackerspace		makerspace																																																			
zdicaudri	lujvo			$z_2=c_1=b_1$ is bored, lacking amusement $c_2=z_1$.				3	bored																																								bored													
zdici'i	lujvo			$x_1$ is entertaining and interesting to $x_2$	= {zdile} {je} {cinri}			2																																																						
zdidadysli	lujvo			$x_1$ is a swing (hanging seat).	Cf. {zdile}, {kelci}, {zdipincarcukla}, {zdirajycarcukla},{zdima'ateryre'e}			2																																																						
zdifanza	lujvo			$f_1=z_1$ (event) teases $f_2=z_2$.				1	tease	event																																																				
zdifri	lujvo			$x_1=z_2=l_1$ has fun with $x_2=z_1=l_2$				2	have fun	experience entertainment with something																																																				
zdigau	lujvo			$x_1=g_1$ entertains (agentive) $x_3=z_2$ with $x_2=z_1$; $g_1$ makes $z_1$ entertaining/amusing for $z_2$ in property/aspect $z_3$				1	entertain	agentive																																							entertainer													
zdiku'a	lujvo			$x1=k1$ is a parlor/[living room] in structure $x2=k2$ for entertaining $x3=z2$				1	parlor	room for entertaining	living room	room for entertaining																																																		
zdile	gismu	    zdi		$x_{1}$ (abstract) is amusing/entertaining to $x_{2}$ in property/aspect $x_{3}$; $x_{3}$ is what amuses $x_{2}$ about $x_{1}$.	Also: $x_1$ occupies $x_2$ pleasantly; $x_1$ is fun for $x_2$; $x_2$ is amused by $x_1$; $x_2$ has fun (at) doing $x_1$; $x_1$ is an amusement/entertainment/game for $x_2$.  See also {cinri}, {panka}, {xajmi} for funny, {kelci}.			100001	amusing		fun																																																			
zdilisri	lujvo			$l_1=z_1$ is an anecdote/funny story/joke about plot/subject/moral $l_2$ by storyteller $l_1$ to audience $l_4=z_2$, amusing in aspect $x_5=z_3$.	Cf. {xamsku}.			1	anecdote		joke	humorous expression																																																		
zdili'u	lujvo			$x_1$ travels/journeys for fun, via route $x_2$, using vehicle $x_3$.	Tourism, sightseeing, hiking, backpacking, bicycling, etc.			1	travel for fun																																																					
zdima'ateryre'e	lujvo			$x_1$ is a roller coaster.	Cf. {zdile}, {kelci}, {zdipincarcukla}, {zdirajycarcukla}, {zdidadysli}.			1	roller coaster																																								roller coaster													
zdimi'a	lujvo			$x_1=c_1=z_2$ laughs about $x_2=z_1$ (abstract) in property/aspect $x_3=z_3$; $x_1=c_1=z_2$ is amused about $x_2=z_1$ (abstract) amusing in property/aspect $x_3=z_3$ which causes $x_1=c_1=z_2$ to laugh.	See also: {cmila} (to laugh, not neccessarly because of amuement)			1	to laugh	because of amusement																																																				
zdipanka	lujvo			$p_1$ is a park managed by polity/community $p_2$ for use by $z_2$,  with amenities/amusements $z_1$.	Cf. {zdile}, {panka}, {kelpanka}, {gubypanka}, {zacpanka}, {fanrypanka}, {kagnypanka}.			3	amusement park		common	park	park	for recreation																																																
