token	jbo	rafsi	en	description	jbo description
famo	fanmo	fam fa'o	end		$x_{1}$ is an end/finish/termination of thing/process $x_{2}$; [not necessarily implying completeness].
fama	fanta		prevent block		$x_{1}$ prevents/keeps/stops/restrains/constrains event $x_{2}$ from occurring.
faxw					
faxe	fraxu	fax	forgive	$nは$aを許す	$x_{1}$ forgives $x_{2}$ for event/state/activity $x_{3}$.
faxo	farka		orientation		$x_1$ is an orientation of/on (base) object $x_2$ with features/characteristics/definition $x_3$; $x_2$ is an unoriented version of an object endowed with/given orientation/direction/face $x_1$.
faxa	facki	fak fa'i	discover		$x_{1}$ discovers/finds out $x_{2}$ (du'u) about subject/object $x_{3}$; $x_{1}$ finds (fi) $x_{3}$ (object).
fale	fatci	fac	fact actual		$x_{1}$ (du'u) is a fact/reality/truth/actuality, in the absolute.
fala	fancu		function		$x_{1}$ is a function/single-valued mapping from domain $x_{2}$ to range $x_{3}$ defined by expression/rule $x_{4}$.
fasw					
fase	fatne	fat fa'e	reverse	$nは$aの逆行	$x_{1}$ [sequence] is in reverse order from $x_{2}$ [sequence]; $x_{1}$ (object) is inverted from $x_{2}$ (object).
faso	fraksino		ash	$nは灰	
fasa	fasnu	fau	event		$x_{1}$ (event) is an event that happens/occurs/takes place; $x_{1}$ is an incident/happening/occurrence.
fafw					
fafe					
fafo	fapro	fap pro	oppose		$x_{1}$ opposes/balances/contends against opponent(s) $x_{2}$ (person/force ind./mass) about $x_{3}$ (abstract).
fafa					
fahw					
fahe	fange		alien foreign		$x_{1}$ is foreign/alien/[exotic]/unfamiliar to $x_{2}$ in property $x_{3}$ (ka).
faho					
faha					
faje					
faja	fanji		ray		$x_1$ is a geometric ray/semi-infinite linear object with endpoint/source $x_2$ and toward and through point $x_3$ (distinct from $x_2$).
fazw					
faze					
fazo					
faza	fanza	faz	annoy		$x_{1}$ (event) annoys/irritates/bothers/distracts $x_{2}$.
favw					
fave	farvi	fav	develop	$nは發展する	$x_{1}$ develops/evolves towards/into $x_{2}$ from $x_{3}$ through stages $x_{4}$.
favo					
fava	fanva		translate		$x_{1}$ translates text/utterance $x_{2}$ to language $x_{3}$ from language $x_{4}$ with translation result $x_{5}$.
farw	farlu	fal fa'u	fall		$x_{1}$ falls/drops to $x_{2}$ from $x_{3}$ in gravity well/frame of reference $x_{4}$.
fare	fatri	fai	distribute		$x_{1}$ is distributed/allotted/allocated/shared among $x_{2}$ with shares/portions $x_{3}$; ($x_{2}$/$x_{3}$ fa'u).
faro	falnu	fan	sail		$x_{1}$ is a sail for gathering propelling material $x_{2}$ on vehicle/motor $x_{3}$.
fara	fagri	fag	fire		$x_{1}$ is a fire/flame in fuel $x_{2}$ burning-in/reacting-with oxidizer $x_{3}$ (default air/oxygen).
hwga			dislike	$nは$aを厭ふ	
hwna					
hwma					
hwxa					
hwla					
hwsa					
hwfa					
hwha					
hwja					
hwza					
hwva					
hwra	cradi		radio		$x_{1}$ broadcasts/transmits [using radio waves] $x_{2}$ via station/frequency $x_{3}$ to [radio] receiver $x_{4}$.
hugu					
hugo					
hunu	junta		weight		$x_{1}$ is the weight of object $x_{2}$ in [gravitational or other force] field $x_{3}$.
huno	jungo	jug	Chinese		$x_{1}$ reflects Chinese [Mandarin, Cantonese, Wu, etc.] culture/nationality/language in aspect $x_{2}$.
humu	jubme	jub jbu	table		$x_{1}$ is a table/flat solid upper surface of material $x_{2}$, supported by legs/base/pedestal $x_{3}$.
humo					
huxu					
huxo	juxre	jux	clumsy		$x_{1}$ (action) is clumsy/awkward by standard $x_{2}$.
husu	jursa	jus	severe		$x_{1}$ (event/action/state) is severe/harsh to $x_{2}$ [victim/experiencer].
huso	jutsi	jut	species		$x_{1}$ is a species of genus $x_{2}$, family $x_{3}$, etc.; [open-ended tree-structure categorization].
hufo					
huhu					
huho					
huzu					
huzo					
huvo					
huru	curnu	cur	worm		$x_{1}$ is a worm/invertebrate animal of species/breed $x_{2}$.
huro	julne	ju'e	net block		$x_{1}$ is a net/filter allowing passage of $x_{2}$, prohibiting passage of $x_{3}$, netting properties $x_{4}$.
hege					
hega					
heni					
hene					
henq					
hena					
hemi	jmite		encounter meet		$x_1$ meets (encounters for the first time) $x_2$ under conditions $x_3$
heme					
hemq			hue	$nは$a (色相) を發する	
hema					
hexe					
hexa					
heli					
hele					
helq					
hela					
hese					
hesa					
hefi					
hefe					
hefq					
hefa					
hehe					
heha					
heji					
heje					
hejq					
heja					
heze					
heza					
hevi					
heve					
hevq					
heva					
heri	clite	lit	polite		$x_{1}$ is polite/courteous/civil in matter $x_{2}$ according to standard/custom $x_{3}$.
here					
herq					
hera	jbera	jer	borrow		$x_{1}$ (agent) borrows/temporarily takes/assumes $x_{2}$ (object) from source $x_{3}$ for interval $x_{4}$.
hogu					
hogo					
hoga					
honu					
hono					
hona					
homu					
homo					
homa					
hoxu					
hoxo					
hoxa					
hola					
hosu					
hoso					
hosa					
hofo					
hofa					
hohu					
hoho					
hoha					
hoja					
hozu					
hozo					
hoza					
hovo					
hova					
horu	xlura	xlu	influence lead		$x_{1}$ (agent) influences/lures/tempts $x_{2}$ into action/state $x_{3}$ by influence/threat/lure $x_{4}$.
horo	jordo	jor jo'o	Jordanian		$x_{1}$ reflects Jordanian culture/nationality in aspect $x_{2}$.
hora					
hagw					
hage					
hago					
haga					
hanw					
hane					
hano					
hana	janta	jat	account bill		$x_{1}$ is an account/bill/invoice for goods/services $x_{2}$, billed to $x_{3}$ by $x_{4}$.
hamw					
hame					
hamo					
hama	jmaji	jaj	gather		$x_{1}$ (mass/jo'u) gathers/collects at location $x_{2}$ from locations $x_{3}$ (mass/jo'u).
haxw			dull	$nは鈍い (彩度=小)	
haxe					
haxo					
haxa					
hale					
hala					
hasw					
hase	cause		gasnu	原因$nは$結果aを引き起こす	
haso					
hasa					
hafw					
hafe			volume	$nは立體	
hafo					
hafa					
hahw					
hahe					
haho					
haha					
haje					
haja					
hazw					
haze					
hazo					
haza					
havw					
have					
havo					
hava					
harw					
hare	cpare	par	climb		$x_{1}$ climbs/clambers/creeps/crawls on surface $x_{2}$ in direction $x_{3}$ using $x_{4}$ [limbs/tools].
haro					
hara	clani	cla	long	$nは長い (長さ=大)	$x_{1}$ is long in dimension/direction $x_{2}$ (default longest dimension) by measurement standard $x_{3}$.
jige	jikni		economy economic		$x_1$ consists of the economic system (production and distribution and consumption) of sector components $x_2$; $x_1$ is economic.
jini	jipno	jip ji'o	tip		$x_{1}$ is a tip/point/vertex/extremity/end [0-dimension shape/form] on object $x_{2}$ at locus $x_{3}$.
jiny	jinto		well		$x_{1}$ is a well/spring of fluid $x_{2}$ at location $x_{3}$.
jine	jinga	jig ji'a	win		$x_{1}$ (person/team) wins/gains prize $x_{2}$ from/over $x_{3}$ [competitors/losers] in competition $x_{4}$.
jimi	jirna		horn	$nは角	$x_{1}$ is a/the horn [body-part] of $x_{2}$; [metaphor: pointed extremity].
jimy	jimca	jic	branch	$nは肢 (腕, 脚, 枝)	$x_{1}$ is a branch/bough/limb of $x_{2}$; $x_{2}$ forks into branches $x_{1}$; [preferred over metaphorical birka].
jime	jinme	jim	metal	$nは金屬	$x_{1}$ is a quantity of/contains/is made of made of metal of composition including $x_{2}$.
jixe	jilka	jil	alkali		$x_{1}$ is a quantity of/contains/is made of alkali/base of composition including $x_{2}$.
jili	jinci		shears		$x_{1}$ is a pair of shears/scissors for cutting $x_{2}$.
jily	jicla		stir		$x_{1}$ (object, or event: force) stirs/mixes/[roils/agitates] fluid (gas/liquid) $x_{2}$.
jile	jikca	jik	socialize social		$x_{1}$ interacts/behaves socially with $x_{2}$; $x_{1}$ socializes with/is sociable towards $x_{2}$.
jise	jicmu	cmu	basic basis		$x_{1}$ is a basis/foundation/underlying or fundamental principle of $x_{2}$; $x_{1}$ is at the bottom of $x_{2}$.
jifi	jicfo		after follow		$x_1$ is after $x_2$ in sequence $x_3$
jify	jitfa	jif	false		$x_{1}$ (du'u) is false/is an untruth by standard/epistemology/metaphysics $x_{2}$.
jife	jitni		political dynamics politics		$x_1$ pertains to politics/political affairs/political dynamics/interactions in system $x_2$, involving actors $x_3$ (set), and concerning topic $x_4$.
jihe	jidge		get to opportunity		$x_1$ has the opportunity to do/be $x_2$ (event/property) under conditions $x_3$; $x_1$ gets to do $x_2$
jiji	jitro	tro	control		$x_{1}$ has control over/harnesses/manages/directs/conducts $x_{2}$ in $x_{3}$ (activity/event/performance).
jijy	jinru	jir	immersed submerged		$x_{1}$ (object/person) is immersed/submerged/bathes in liquid $x_{2}$.
jije	jijnu	jij	intuit		$x_{1}$ (person) intuits $x_{2}$ (du'u) about subject $x_{3}$; [epistemology].
jize	jinsa	jis	clean		$x_{1}$ (object) is clean/pure of material/contaminant/dirt $x_{2}$ by standard $x_{3}$.
jivi	jivna	jvi	compete		$x_{1}$ competes/vies with opponent $x_{2}$ in contest/competition $x_{3}$ (event) for gain $x_{4}$; $x_{1}$ rivals $x_{2}$.
jivy	jinvi	jiv ji'i	opine		$x_{1}$ thinks/opines $x_{2}$ [opinion] (du'u) is true about subject/issue $x_{3}$ on grounds $x_{4}$.
jive	jivbu		weave		$x_{1}$ weaves $x_{2}$ from material/[yarn] $x_{3}$.
jiri	jilra		jealous	$nは$aを羨む (妬む)	$x_{1}$ (person) is jealous of/envies $x_{2}$ (person) about/for $x_{3}$ (property - ka).
jiry	jisra		juice		$x_{1}$ is made of/contains/is a quantity of juice/nectar from-source/of-type $x_{2}$.
jire	jikru		liquor		$x_{1}$ is made of/contains/is a quantity of liquor/spirits distilled from $x_{2}$.
jyni	jinku		vaccine		$x_{1}$ is a vaccine/immune-system stimulant protecting $x_{2}$ against disease $x_{3}$ introduced by method $x_{4}$.
jymi	jmive	miv ji'e	live	$nは生く (生命=有)	$x_{1}$ lives/is alive by standard $x_{2}$; $x_{1}$ is an organism/living thing.
jyli	jipci		chicken		$x_{1}$ is a chicken/[hen/cock/rooster]/small fowl [a type of bird] of species/breed $x_{2}$.
jyfi	jikfi		physical interaction		$x_1$ is a physical interaction [colloquially: force] between $x_2$ (interacting participants/objects; symmetric) with characteristics/of type $x_3$
jyji	jijgi		connective question		$x_{1}$ is a connective question, requesting the connective between $x_{2}$ (du'u) and $x_{3}$ (du'u) in that order, assuming that they are true.
jyvi	jibni	jbi	near	$nは$aへ近い (距離=小)	$x_{1}$ is near/close to/approximates $x_{2}$ in property/quantity $x_{3}$ (ka/ni).
jyri	jibri	jib	job		$x_{1}$ is a job/occupation/employment/vocation (a type of work regularly done for pay) of person $x_{2}$.
jege	jgena	jge	knot	$nは結び目 (絡まり)	$x_{1}$ is a knot/tangle in/between $x_{2}$ (object/jo'u-objects).
jega					
jeni	jdika		decrease		$x_{1}$ (experiencer) decreases/contracts/is reduced/diminished in property/quantity $x_{2}$ by amount $x_{3}$.
jene	jendu	jed	axle		$x_{1}$ is an axle/spindle [tool] on which $x_{2}$ rotates, of material/properties $x_{3}$.
jenq	jetnu	jet je'u	true truth		$x_{1}$ (du'u) is true/truth by standard/epistemology/metaphysics $x_{2}$.
jena	jemna	jme	gem		$x_{1}$ is a gem/polished stone/pearl of type $x_{2}$ from gemstone/material/source $x_{3}$.
jemi	jenmi	jem jei	army		$x_{1}$ (mass) is an army serving group/community $x_{2}$ (mass) in function $x_{3}$ (activity).
jeme	jimpe	jmi	understand	$nはを$a (表現) を理解する	$x_{1}$ understands/comprehends fact/truth $x_{2}$ (du'u) about subject $x_{3}$; $x_{1}$ understands (fi) $x_{3}$.
jemq	jimte	jit	limit		$x_{1}$ is a limit/extreme/bound/border/[confinement] of $x_{2}$ in property/domain $x_{3}$.
jema	jdima	di'a	cost price		$x_{1}$ [amount] is the price of $x_{2}$ to purchaser/consumer $x_{3}$ set by vendor $x_{4}$.
jexe					
jexa					
jeli	jecta	jec je'a	polity		$x_{1}$ is a polity/state governing territory/domain $x_{2}$; [government/territory relationship].
jele	jetce	je'e	jet		$x_{1}$ is a jet [expelled stream] of material $x_{2}$ expelled from $x_{3}$.
jelq	jelca	jel	burn	$n (燃料) は$a (酸化劑) で燃焼する	$x_{1}$ burns/[ignites/is flammable/inflammable] at temperature $x_{2}$ in atmosphere $x_{3}$.
jela	jenca	jen	shock		$x_{1}$ (event) shocks/stuns $x_{2}$.
jese	jensi		scissor shear	$nは鋏	$x_1$ is a (set/pair) of scissors/shears/clippers/(hedge) trimmers/tongs [tool] with parts/blades $x_2$ (scissor) and used for purpose $x_3$
jesa	jesni	jes	needle		$x_{1}$ is a needle [pointed shape/form, not tool] of material $x_{2}$.
jefi	cfika	fik fi'a	fiction		$x_{1}$ is a work of fiction about plot/theme/subject $x_{2}$/under convention $x_{2}$ by author $x_{3}$.
jefe					
jefq					
jefa	jeftu	jef	week		$x_{1}$ is $x_{2}$ weeks in duration (default is 1 week) by standard $x_{3}$.
jehe					
jeha					
jeji	jersi	je'i	chase follow		$x_{1}$ chases/pursues/(physically) follows after $x_{2}$; volition is not implied for $x_{1}$ or $x_{2}$.
jeje	jenje		acknowledge receipt of transmission/message		$x_1$ 'copies'/acknowledges/confirms of receipt and understanding of message/transmission/communication $x_2$ from sender/station $x_3$.
jejq					
jeja	jcalu		nail	$nは爪	
jeze					
jeza	jinzi	jiz	innate proper		$x_{1}$ (property - ka) is an innate/inherent/intrinsic/natural property/quality/aspect of $x_{2}$.
jevi	jvinu	vin ji'u	scene view		$x_{1}$ is the view/scene/panorama/sight/prospect of $x_{2}$ (object/location) from point-of-view $x_{3}$.
jeve	jegvo	jeg je'o			$x_{1}$ pertains to the common Judeo-Christian-Moslem (Abrahamic) culture/religion/nationality in aspect $x_{2}$.
jevq					
jeva	jbari	jba	berry		$x_{1}$ is a berry (fruit/plant) of plant/species $x_{2}$.
jeri	jgari	jai	grasp hold	$nは$aを抱擁する	$x_{1}$ grasps/holds/clutches/seizes/grips/[hugs] $x_{2}$ with $x_{3}$ (part of $x_{1}$) at locus $x_{4}$ (part of $x_{2}$).
jere	cedra		era		$x_{1}$ is an era/epoch/age characterized by $x_{2}$ (event/property/interval/idea).
jerq	jerxo	jex	Algerian		$x_{1}$ reflects Algerian culture/nationality in aspect $x_{2}$.
jera	jerna		deserve earn		$x_{1}$ (agent/person) earns/[deserves/merits] wages/salary/pay $x_{2}$ for work/service $x_{3}$ (activity).
jqge					
jqne	jmedu		jellyfish sea jelly		$x_1$ is a jellyfish/sea jelly/medusa/cnidarian of species/variety $x_2$
jqme	jmifa		shoal reef		$x_{1}$ is a shoal [shallow hazard]/reef of material $x_{2}$ in body of water $x_{3}$.
jqxe					
jqle					
jqse					
jqfe					
jqhe					
jqje					
jqze	jdini	din di'i	money	$nは金 (貨幣, 紙幣, 硬貨)	$x_{1}$ is money/currency issued by $x_{2}$; (adjective:) $x_{1}$ is financial/monetary/pecuniary/fiscal.
jqve	jviso		ISO ISO code		$x_1$ is the ISO designation/result/standard/code for topic $x_2$ applied to specific case/individual/group/thing $x_3$ according to rule/ISO specification $x_4$ published by/according to mandating organization $x_5$ (default: ISO)
jqre	crino	ri'o	green	$nは綠色を呈する	$x_{1}$ is green/verdant [color adjective].
jagw					
jage	jgita	git	guitar	$nは弦樂器	$x_{1}$ is guitar/violin/fiddle/harp [stringed musical instrument] with actuator/plectrum/bow $x_{2}$.
jago					
jaga	jgalu	ja'u	claw		$x_{1}$ is a/the claw/nail/talon [body-part] of $x_{2}$; [metaphor: pointed, penetrating, physical weapon].
janw			_self	$nは この言語	
jane	jadni	jad ja'i	adorn ornament		$x_{1}$ (object) adorns/decorates $x_{2}$; $x_{1}$ is an adornment/decoration of $x_{2}$; $x_{2}$ is fancy/decorated.
jano	junri	jur	serious		$x_{1}$ (person) is serious/earnest/has gravity about $x_{2}$ (event/state/activity).
jana	junla	jul	clock		$x_{1}$ is clock/watch/timer measuring time units $x_{2}$ to precision $x_{3}$ with timing mechanism/method $x_{4}$.
jamw	jatna	ja'a	captain		$x_{1}$ is captain/commander/leader/in-charge/boss of vehicle/domain $x_{2}$.
jame	janli	jal	collide		$x_{1}$ collides with/crashes/bumps/runs into $x_{2}$.
jamo	jbobo		jbobau		$x_1$ reflects jbobau language/culture/nationality/community in aspect $x_2$
jama	jamna	jam	war		$x_{1}$ (person/mass) wars against $x_{2}$ over territory/matter $x_{3}$; $x_{1}$ is at war with $x_{2}$.
jaxw					
jaxe	jakne		rocket		$x_{1}$ is a rocket [vehicle] propelled by jet expelling $x_{2}$ carrying payload $x_{3}$.
jaxo					
jaxa	janka		spider		$x_1$ is a spider of species/variety $x_2$
jale	janco	jan	shoulder	$nは肩 (尻)	$x_{1}$ is a/the shoulder/hip/joint [body-part] attaching limb/extremity $x_{2}$ to body $x_{3}$.
jala	jarco	ja'o	show		$x_{1}$ (agent) shows/exhibits/displays/[reveals]/demonstrates $x_{2}$ (property) to audience $x_{3}$.
jasw	jaktu		octopus squid		$x_1$ is an octopus/squid/nautilus of species/variety $x_2$
jase	jonse		access		$x_1$ accesses $x_2$ for purpose $x_3$, access/interaction in manner $x_4$; $x_1$ approaches / reaches / interacts with / reads / uses $x_2$.
jaso	jansu	jas	diplomat		$x_{1}$ is a diplomat/consul representing polity $x_{2}$ in/at negotiation $x_{3}$ for function/purpose $x_{4}$.
jasa	jaspu	jap	account passport		$x_{1}$ is a passport issued to $x_{2}$ (person) by authority $x_{3}$ allowing $x_{4}$ (activity).
jafw					
jafe					
jafo	jamfu	jaf jma	foot	$nは足	$x_{1}$ is a/the foot [body-part] of $x_{2}$; [metaphor: lowest portion] (adjective:) $x_{1}$ is pedal.
jafa	jbama	bam	bomb		$x_{1}$ is a bomb/explosive device with explosive material/principle $x_{2}$.
jahw					
jahe	jalge	jag ja'e	result		$x_{1}$ (action/event/state) is a result/outcome/conclusion of antecedent $x_{2}$ (event/state/process).
jaho	jguvi				$x_1$ is a monster of species/variety $x_2$
jaha	jganu	jga	angle		$x_{1}$ is an angle [2-dimensional shape/form] from vertex $x_{2}$ subtended by lateral [segment] $x_{3}$.
jaje	jadji		locust grasshopper	$nは蝗	$x_1$ is a locust/grasshopper/cricket of species/variety $x_2$
jaja	jalra		cockroach termite		$x_{1}$ is a cockroach/orthopteran/termite of order/species/breed $x_{2}$.
jazw					
jaze					
jazo					
jaza	jdari	jar	firm hard	$nは$aに對して硬い (力に對する變形=小)	$x_{1}$ is firm/hard/resistant/unyielding to force $x_{2}$ under conditions $x_{3}$.
javw	jabre		brake		$x_{1}$ brakes/causes to slow motion/activity $x_{2}$ with device/mechanism/principle $x_{3}$.
jave	janbe	jab	bell		$x_{1}$ is a bell/chime/[tuning fork] [tuned percussion instrument] producing sound/note $x_{2}$.
javo	jvoso		Viossa		$x_1$ reflects Viossa (the conpidgin) language/culture in aspect $x_2$
java	javni	jva	rule term		$x_{1}$ is a rule prescribing/mandating/requiring $x_{2}$ (event/state) within system/community $x_{3}$.
jarw	jarbu		suburb		$x_{1}$ is a suburban area of city/metropolis $x_{2}$.
jare	jorne	jon jo'e	joined		$x_{1}$ is joined to/connects to/is united with $x_{2}$ at common locus $x_{3}$; $x_{1}$ and $x_{2}$ are a union.
jaro	jarki	jak	narrow		$x_{1}$ is narrow in dimension $x_{2}$ [2nd most significant dimension] by standard $x_{3}$.
jara	jalna		starch		$x_{1}$ is a quantity of/contains/is made of starch from source $x_{2}$ of composition including $x_{3}$.
zwga					
zwna					
zwma	smadi		guess		$x_{1}$ guesses/conjectures/surmises $x_{2}$ (du'u) is true about subject $x_{3}$; [epistemology].
zwxa					
zwla					
zwsa					
zwfa					
zwha					
zwja					
zwza					
zwva					
zwra	slasi	las	plastic		$x_{1}$ is a quantity of/is made of/contains plastic/polymer of type/component unit(s) $x_{2}$.
zugu	zungi	zug	guilt		$x_{1}$ feels guilt/remorse about $x_{2}$ (abstraction).
zugo					
zunu	zunle	zul	left		$x_{1}$ is to the left/left-hand side of $x_{2}$ which faces/in-frame-of-reference $x_{3}$.
zuno	zulna		left	$nは$aの左に有る	
zumu	zunti	zun zu'i	interfere		$x_{1}$ (evt./state) interferes with/hinders/disrupts $x_{2}$ (evt./state/process) due to quality $x_{3}$ (ka).
zumo	zumri	zmu	maize		$x_{1}$ is a quantity of maize/corn [grain] of species/strain $x_{2}$.
zuxu	zucna		counterclockwise		$x_1$ is counterclockwise/left-turn-direction of[/to] $x_2$ along/following track $x_3$ [path] in frame of reference $x_4$ (where the axis is within the region defined by the track as the boundary, as viewed from and defined by view(er) $x_4$; see notes); $x_1$ is locally to the left of $x_2$, according to $x_4$, constrained along $x_3$; $x_1$ is along a left turn from $x_2$ along path $x_3$, as viewed in frame $x_4$.
zuxo					
zusu	zutse	zut tse	sit	$nは$aに座る	$x_{1}$ sits [assumes sitting position] on surface $x_{2}$.
zuso	zukte	zuk zu'e	act		$x_{1}$ is a volitional entity employing means/taking action $x_{2}$ for purpose/goal $x_{3}$/to end $x_{3}$.
zufo	jufra	juf ju'a	sentence	$nは文 (命題)	$x_{1}$ (text) is a sentence/statement about $x_{2}$ [topic/subject/predicate/focus] in language $x_{3}$.
zuhu					
zuho					
zuzu	zvuzu				$x_1$ is the last word in the dictionary of language $x_2$ ordered by rule $x_3$.
zuzo	judri		address		$x_{1}$ is an address of/are coordinates of $x_{2}$ in system $x_{3}$.
zuvo					
zuru	cupra	pra	produce		$x_{1}$ produces $x_{2}$ [product] by process $x_{3}$.
zuro	zurja		coax convince		$x_1$ persuades/convinces $x_2$ to do/be $x_3$ (event/property) with action $x_4$
zege					
zega					
zeni	zinki	zin zi'i	zinc		$x_{1}$ is a quantity of/contains/is made of zinc (Zn); [metaphor: hard metal].
zene	senta	set	layer		$x_{1}$ is a layer/stratum [shape/form] of $x_{2}$ [material] within structure/continuum/composite $x_{3}$.
zenq					
zena	zenba	zen ze'a	increase		$x_{1}$ (experiencer) increases/is incremented/augmented in property/quantity $x_{2}$ by amount $x_{3}$.
zemi	jmina	min	add		$x_{1}$ adds/combines $x_{2}$ to/with $x_{3}$, with result $x_{4}$; $x_{1}$ augments $x_{2}$ by amount $x_{3}$.
zeme	zmiku	zmi	automatic		$x_{1}$ is automatic in function $x_{2}$ under conditions $x_{3}$.
zemq					
zema	zmadu	zma mau	more more than		$x_{1}$ exceeds/is more than $x_{2}$ in property/quantity $x_{3}$ (ka/ni) by amount/excess $x_{4}$.
zexe					
zexa					
zeli	steci	tec te'i	particular special		$x_{1}$ (ka) is specific/particular/specialized/[special]/a defining property of $x_{2}$ among $x_{3}$ (set).
zele					
zelq					
zela					
zese					
zesa					
zefi	zepti	zep	1E-21		$x_{1}$ is $10^{-21}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
zefe	zifre	zif zi'e	free		$x_{1}$ is free/at liberty to do/be $x_{2}$ (event/state) under conditions $x_{3}$.
zefq					
zefa					
zehe					
zeha					
zeji	zirli		in real-life IRL		$x_1$ pertains to/relates to/happens in real-life (IRL) in aspect $x_2$; $x_1$ is (in one sense each, possibly philosophically) not virtual/not via the Internet/not cyber/not simulated/outside of the Matrix/not fantasy/real/realistic
zeje	zdile	zdi	amusing fun	$nは$aを樂しむ	$x_{1}$ (abstract) is amusing/entertaining to $x_{2}$ in property/aspect $x_{3}$; $x_{3}$ is what amuses $x_{2}$ about $x_{1}$.
zejq	zejvo		zei-lujvo		$x_1$ (text) is a Lojban compound predicate using the particle “zei”; with meaning $x_2$, arguments $x_3$, built from metaphor (tanru) $x_4$.
zeja					
zeze					
zeza					
zevi	zviki		hack		$x_1$ (agent) creates 'hack' $x_2$ (nu/zu'o/si'o) for system/tool $x_3$ from inspiration $x_4$; $x_2$ is an emergent use/purpose for $x_3$, unexpected by the original creators or users
zeve	zbepi	zbe	pedestal		$x_{1}$ is a pedestal/base/stand/pallet supporting $x_{2}$ (object/event), of materials/properties $x_{3}$.
zevq					
zeva	zevla		morphologically fu'ivla fu'ivla		$x_1$ is a zi'evla-form word meaning $x_2$ (in Lojban); $x_1$ is morphologically a zi'evla
zeri	zirpu	zir zi'u	purple	$nは紫色を呈する	$x_{1}$ is purple/violet [color adjective].
zere	zivle	ziv vle	invest		$x_{1}$ (agent) invests resources $x_{2}$ in investment $x_{3}$ expecting return/profit $x_{4}$ (object(s)/event).
zerq	zetro	zet	1E21 zetta		$x_{1}$ is $10^{21}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
zera	zekri	zer zei	crime		$x_{1}$ (event/state) is a punishable crime/[taboo/sin] to people/culture/judges/jury $x_{2}$.
zogu					
zogo					
zoga					
zonu	snuji	nuj	sandwich		$x_{1}$ is a sandwich/layering [not restricted to food] of $x_{2}$ sandwiched between $x_{3}$.
zono					
zona	sraku	rak	scratch	$nは$aを掻く	$x_{1}$ [abrasive/cutting/scratching object/implement] scratches/[carves]/erodes/cuts [into] $x_{2}$.
zomu	smuci	muc	spoon	$nは匙	$x_{1}$ is a spoon/scoop (tool) for use $x_{2}$, made of material $x_{3}$.
zomo	zvomo		Finnish		$x_1$ reflects Finnish language/culture/nationality in aspect $x_2$
zoma					
zoxu					
zoxo					
zoxa					
zola					
zosu					
zoso					
zosa					
zofo	sfopu		borked borken		$x_1$ is borked/borken and can no longer perform function $x_2$
zofa					
zohu					
zoho					
zoha					
zoja					
zozu					
zozo					
zoza					
zovo					
zova	zvati	zva	at		$x_{1}$ (object/event) is at/attending/present at $x_{2}$ (event/location).
zoru	clupa	cup	loop		$x_{1}$ is a loop/circuit of $x_{2}$ [material].
zoro					
zora	sraji	raj	vertical		$x_{1}$ is vertical/upright/erect/plumb/oriented straight up and down in reference frame/gravity $x_{2}$.
zagw					
zage					
zago					
zaga	zgana	zga	observe		$x_{1}$ observes/[notices]/watches/beholds $x_{2}$ using senses/means $x_{3}$ under conditions $x_{4}$.
zanw	zanru	zar zau	approve		$x_{1}$ approves of/gives favor to plan/action $x_{2}$ (object/event).
zane	zandi		dirty contaminated		$x_1$ is dirty/contaminated with debris/contaminant $x_2$ by standard $x_3$
zano	zabna	zan za'a	favorable		$x_1$ is favorable/great/superb/fabulous/dandy/outstanding/swell/admirable/nice/commendable/delightful/desirable/enjoyable/laudable/likable/lovable/wonderful/praiseworthy/high-quality/cool in property $x_2$ by standard $x_3$; $x_1$ rocks in aspect $x_2$ according to $x_3$
zana	zanxi		expedite hasten		$x_1$ (agent) urges/presses/prompts/expedites/hastens $x_2$ (event) for reason $x_3$ (fact, event)
zamw			imagine	$nは$aを想像する (夢想する)	
zame					
zamo					
zama	zbabu	bab	soap		$x_{1}$ is a quantity of/contains/is made of soap from source $x_{2}$ of composition including $x_{3}$.
zaxw					
zaxe					
zaxo					
zaxa					
zale	stace	sac	honest		$x_{1}$ is honest/open/truthfully revealing to/candid/frank with $x_{2}$ about matter/fact $x_{3}$.
zala					
zasw	zasni	zas	temporary		$x_{1}$ is temporary/not permanent/expected to change in property $x_{2}$ (ka) by standard/expectant $x_{3}$.
zase	zmase				$x_1$ is an enzyme catalyzing reaction $x_2$
zaso	zbasu	zba	build make	$nは材料 (部品) $aから$dを作る (構成する)	$x_{1}$ makes/assembles/builds/manufactures/creates $x_{2}$ out of materials/parts/components $x_{3}$.
zasa	zasti	zat za'i	exist		$x_{1}$ exists/is real/actual/reality for $x_{2}$ under metaphysics $x_{3}$.
zafw					
zafe					
zafo					
zafa	sfani		fly	$nは蠅	$x_{1}$ is a fly [a small non-stinging flying insect] of species/breed $x_{2}$.
zahw					
zahe					
zaho					
zaha	zgadi		ought should		$x_1$ (abstraction) should/(of right) ought to be true/happening under conditions/in the case of $x_2$ being true/happening, as believed by/by standard/under consideration of $x_3$. If the world were proper/correct/just/ruled perfectly and strictly according to $x_3$ and if $x_2$ were true, then $x_1$ would be true as well.
zaje					
zaja	zajba	zaj	gymnast		$x_{1}$ is a gymnast at/performs gymnastics feat $x_{2}$.
zazw					
zaze					
